DATE;Close
16/08/2022;49,258
17/08/2022;49,634
18/08/2022;49,442
19/08/2022;49,41
22/08/2022;49,132
23/08/2022;49,32
24/08/2022;49,346
25/08/2022;49,598
26/08/2022;50,148
29/08/2022;49,846
30/08/2022;49,328
31/08/2022;48,562
01/09/2022;48,742
02/09/2022;48,362
05/09/2022;48,394
06/09/2022;48,45
07/09/2022;48,052
08/09/2022;47,74
09/09/2022;47,854
12/09/2022;48,158
13/09/2022;48,438
14/09/2022;47,912
15/09/2022;47,782
16/09/2022;47,458
19/09/2022;46,636
20/09/2022;46,642
21/09/2022;46,916
22/09/2022;46,886
23/09/2022;46,45
26/09/2022;45,924
27/09/2022;45,852
28/09/2022;45,972
29/09/2022;45,62
30/09/2022;44,27
03/10/2022;44,522
04/10/2022;44,58
05/10/2022;45,582
06/10/2022;45,722
07/10/2022;46,026
10/10/2022;45,372
11/10/2022;44,87
12/10/2022;44,248
13/10/2022;44,12
14/10/2022;43,838
17/10/2022;43,822
18/10/2022;44,318
19/10/2022;44,016
20/10/2022;43,706
21/10/2022;44,148
24/10/2022;44,084
25/10/2022;42,374
26/10/2022;42,436
27/10/2022;42,93
28/10/2022;43,006
31/10/2022;42,404
01/11/2022;42,736
02/11/2022;43,706
03/11/2022;43,66
04/11/2022;44,03
07/11/2022;44,906
08/11/2022;44,852
09/11/2022;44,854
10/11/2022;44,586
11/11/2022;44,982
14/11/2022;45,508
15/11/2022;45,486
16/11/2022;46,548
17/11/2022;45,454
18/11/2022;45,566
21/11/2022;45,45
22/11/2022;45,246
23/11/2022;45,234
24/11/2022;45,244
25/11/2022;45,57
28/11/2022;45,046
29/11/2022;45,116
30/11/2022;46,004
01/12/2022;47,044
02/12/2022;46,47
05/12/2022;46,578
06/12/2022;46,198
07/12/2022;46,098
08/12/2022;45,68
09/12/2022;46,006
12/12/2022;46,25
13/12/2022;45,454
14/12/2022;45,792
15/12/2022;45,662
16/12/2022;44,636
19/12/2022;44,928
20/12/2022;44,89
21/12/2022;44,694
22/12/2022;45,032
23/12/2022;44,82
27/12/2022;44,668
28/12/2022;45,142
29/12/2022;44,778
30/12/2022;45,274
02/01/2023;44,552
03/01/2023;44,964
04/01/2023;45,648
05/01/2023;46,346
06/01/2023;46,626
09/01/2023;47,092
10/01/2023;47,546
11/01/2023;47,31
12/01/2023;47,436
13/01/2023;47,504
16/01/2023;47,718
17/01/2023;47,578
18/01/2023;47,776
19/01/2023;47,742
20/01/2023;47,95
23/01/2023;48,382
24/01/2023;48,924
25/01/2023;48,812
26/01/2023;48,592
27/01/2023;49,17
30/01/2023;49,096
31/01/2023;48,464
01/02/2023;48,014
02/02/2023;48,122
03/02/2023;48,192
06/02/2023;47,988
07/02/2023;47,452
08/02/2023;47,58
09/02/2023;47,444
10/02/2023;47,896
13/02/2023;47,632
14/02/2023;47,696
15/02/2023;47,496
16/02/2023;47,312
17/02/2023;47,508
20/02/2023;46,966
21/02/2023;47,366
22/02/2023;46,656
23/02/2023;46,428
24/02/2023;46,696
27/02/2023;45,852
28/02/2023;45,942
01/03/2023;45,772
02/03/2023;46,292
03/03/2023;46,666
06/03/2023;47,026
07/03/2023;46,896
08/03/2023;46,57
09/03/2023;46,588
10/03/2023;45,934
13/03/2023;45,31
14/03/2023;44,79
15/03/2023;44,774
16/03/2023;44,37
17/03/2023;44,874
20/03/2023;44,624
21/03/2023;44,416
22/03/2023;44,514
23/03/2023;44,958
24/03/2023;45,428
27/03/2023;45,284
28/03/2023;44,962
29/03/2023;45,432
30/03/2023;45,708
31/03/2023;45,874
03/04/2023;46,08
04/04/2023;45,89
05/04/2023;45,654
06/04/2023;45,506
11/04/2023;45,57
12/04/2023;46,186
13/04/2023;45,604
14/04/2023;45,762
17/04/2023;45,674
18/04/2023;46,186
19/04/2023;46,082
20/04/2023;45,61
21/04/2023;45,616
24/04/2023;44,966
25/04/2023;44,642
26/04/2023;44,212
27/04/2023;44,256
28/04/2023;44,658
02/05/2023;44,914
03/05/2023;44,484
04/05/2023;44,346
05/05/2023;44,736
08/05/2023;45,124
09/05/2023;45,338
10/05/2023;45,218
11/05/2023;45,178
12/05/2023;45,096
15/05/2023;45,048
16/05/2023;45,692
17/05/2023;45,66
18/05/2023;45,754
19/05/2023;45,84
22/05/2023;45,77
23/05/2023;46,188
24/05/2023;45,92
25/05/2023;45,392
26/05/2023;45,42
29/05/2023;46,168
30/05/2023;45,95
31/05/2023;45,584
01/06/2023;45,02
02/06/2023;45,532
05/06/2023;46,68
06/06/2023;46,53
07/06/2023;47,016
08/06/2023;47,134
09/06/2023;46,856
12/06/2023;47,272
13/06/2023;47,324
14/06/2023;47,638
15/06/2023;47,614
16/06/2023;47,604
19/06/2023;47,652
20/06/2023;47,41
21/06/2023;46,79
22/06/2023;46,352
23/06/2023;46,222
26/06/2023;45,848
27/06/2023;45,95
28/06/2023;46,128
29/06/2023;46,032
30/06/2023;45,978
03/07/2023;46,218
04/07/2023;46,744
05/07/2023;47,066
06/07/2023;46,63
07/07/2023;45,6
10/07/2023;45,832
11/07/2023;45,656
12/07/2023;45,974
13/07/2023;46,548
14/07/2023;46,83
17/07/2023;46,618
18/07/2023;46,398
19/07/2023;46,312
20/07/2023;46,43
21/07/2023;46,154
24/07/2023;46,314
25/07/2023;47,082
26/07/2023;47,546
27/07/2023;47,558
28/07/2023;47,934
31/07/2023;48,498
01/08/2023;48,51
02/08/2023;48,188
03/08/2023;47,194
04/08/2023;47,402
07/08/2023;47,212
08/08/2023;46,872
09/08/2023;46,44
10/08/2023;46,492
11/08/2023;46,862
14/08/2023;46,06
16/08/2023;45,988
17/08/2023;45,432
18/08/2023;45,562
21/08/2023;45,166
22/08/2023;45,002
23/08/2023;45,332
24/08/2023;45,956
25/08/2023;45,952
28/08/2023;46,002
29/08/2023;46,504
30/08/2023;46,862
31/08/2023;46,376
01/09/2023;46,262
04/09/2023;46,914
05/09/2023;47,138
06/09/2023;47,058
07/09/2023;46,78
08/09/2023;46,274
11/09/2023;46,306
12/09/2023;46,572
13/09/2023;46,63
14/09/2023;46,666
15/09/2023;47,258
18/09/2023;46,984
19/09/2023;46,728
20/09/2023;46,478
21/09/2023;46,572
22/09/2023;45,706
25/09/2023;46,292
26/09/2023;46,248
27/09/2023;45,748
28/09/2023;45,988
29/09/2023;45,736
02/10/2023;45,978
03/10/2023;45,95
04/10/2023;45,54
05/10/2023;45,172
06/10/2023;44,988
09/10/2023;45,506
10/10/2023;45,332
11/10/2023;46,032
12/10/2023;46,238
13/10/2023;46,236
16/10/2023;46,108
17/10/2023;46,27
18/10/2023;46,05
19/10/2023;45,554
20/10/2023;45,19
23/10/2023;44,458
24/10/2023;44,208
25/10/2023;44,934
26/10/2023;44,56
27/10/2023;44,352
30/10/2023;44,288
31/10/2023;44,384
01/11/2023;44,01
02/11/2023;44,616
03/11/2023;45,242
06/11/2023;45,816
07/11/2023;46,26
08/11/2023;46,226
09/11/2023;45,9
10/11/2023;45,884
13/11/2023;45,674
14/11/2023;45,858
15/11/2023;46,192
16/11/2023;46,876
17/11/2023;46,08
20/11/2023;46,134
21/11/2023;46,408
22/11/2023;46,24
23/11/2023;46,344
24/11/2023;46,42
27/11/2023;46,064
28/11/2023;45,852
29/11/2023;46,078
30/11/2023;45,926
01/12/2023;46,228
04/12/2023;46,422
05/12/2023;46,31
06/12/2023;46,056
07/12/2023;46,338
08/12/2023;46,284
11/12/2023;46,282
12/12/2023;46,556
13/12/2023;46,36
14/12/2023;46,098
15/12/2023;46,666
18/12/2023;47,096
19/12/2023;46,61
20/12/2023;46,958
21/12/2023;46,648
22/12/2023;46,802
27/12/2023;46,616
28/12/2023;46,762
29/12/2023;47,476
02/01/2024;47,402
03/01/2024;47,368
04/01/2024;47,176
05/01/2024;47,072
08/01/2024;47,076
09/01/2024;46,87
10/01/2024;46,536
11/01/2024;46,214
12/01/2024;46,214
15/01/2024;46,708
16/01/2024;46,354
17/01/2024;45,93
18/01/2024;44,988
19/01/2024;45,476
22/01/2024;45,544
23/01/2024;45,46
24/01/2024;45,924
25/01/2024;46,556
26/01/2024;46,706
29/01/2024;46,698
30/01/2024;46,75
31/01/2024;46,314
01/02/2024;46,394
02/02/2024;46,406
05/02/2024;46,582
06/02/2024;46,92
07/02/2024;48,034
08/02/2024;47,984
09/02/2024;47,79
12/02/2024;47,706
13/02/2024;48,52
14/02/2024;47,772
15/02/2024;48,23
16/02/2024;48,266
19/02/2024;48,668
20/02/2024;48,584
21/02/2024;48,392
22/02/2024;48,536
23/02/2024;48,884
26/02/2024;48,926
27/02/2024;48,598
28/02/2024;48,802
29/02/2024;48,174
01/03/2024;48,35
04/03/2024;48,878
05/03/2024;48,724
06/03/2024;48,33
07/03/2024;48,89
08/03/2024;48,894
11/03/2024;48,926
12/03/2024;49,146
13/03/2024;49,588
14/03/2024;49,322
15/03/2024;49,41
18/03/2024;49,018
19/03/2024;49,218
20/03/2024;48,998
21/03/2024;49,16
22/03/2024;49,776
25/03/2024;49,58
26/03/2024;49,46
27/03/2024;49,574
28/03/2024;49,486
02/04/2024;49,93
03/04/2024;50,362
04/04/2024;50,056
05/04/2024;50,384
08/04/2024;49,928
09/04/2024;50,304
10/04/2024;50,414
11/04/2024;50,282
12/04/2024;50,606
15/04/2024;50,176
16/04/2024;50,07
17/04/2024;49,152
18/04/2024;48,984
19/04/2024;49,31
22/04/2024;48,912
23/04/2024;49,218
24/04/2024;49,55
25/04/2024;49,832
26/04/2024;49,654
29/04/2024;50,472
30/04/2024;50,792
02/05/2024;50,604
03/05/2024;51,278
06/05/2024;51,568
07/05/2024;51,668
08/05/2024;51,544
09/05/2024;51,514
10/05/2024;51,51
13/05/2024;51,766
14/05/2024;52,036
15/05/2024;52,12
16/05/2024;52,466
17/05/2024;52,638
20/05/2024;52,868
21/05/2024;52,768
22/05/2024;52,41
23/05/2024;52,416
24/05/2024;52,252
27/05/2024;52,028
28/05/2024;52,298
29/05/2024;51,952
30/05/2024;51,308
31/05/2024;51,112
03/06/2024;50,216
04/06/2024;50,924
05/06/2024;50,09
06/06/2024;51,108
07/06/2024;51,338
10/06/2024;51,418
11/06/2024;51,802
12/06/2024;51,5
13/06/2024;51,82
14/06/2024;51,916
17/06/2024;52,256
18/06/2024;52,336
19/06/2024;52,868
20/06/2024;53,232
21/06/2024;52,994
24/06/2024;52,918
25/06/2024;52,908
26/06/2024;52,534
27/06/2024;52,566
28/06/2024;52,538
01/07/2024;52,784
02/07/2024;52,724
03/07/2024;52,622
04/07/2024;53,19
05/07/2024;53,33
08/07/2024;53,222
09/07/2024;53,448
10/07/2024;53,56
11/07/2024;53,768
12/07/2024;53,994
15/07/2024;54,122
16/07/2024;53,704
17/07/2024;53,744
18/07/2024;52,946
19/07/2024;52,574
22/07/2024;52,122
23/07/2024;52,316
24/07/2024;52,37
25/07/2024;51,854
26/07/2024;51,456
29/07/2024;51,71
30/07/2024;51,71
31/07/2024;51,674
01/08/2024;52,762
02/08/2024;52,288
05/08/2024;50,408
06/08/2024;48,836
07/08/2024;49,134
08/08/2024;50,394
09/08/2024;50,784
12/08/2024;50,964
13/08/2024;51,31
14/08/2024;51,438
16/08/2024;51,206
19/08/2024;52,262
20/08/2024;52,542
21/08/2024;52,038
22/08/2024;52,106
23/08/2024;51,774
26/08/2024;52,124
27/08/2024;51,75
28/08/2024;51,752
29/08/2024;51,734
30/08/2024;52,164
02/09/2024;52,008
03/09/2024;51,93
04/09/2024;51,444
05/09/2024;51,146
06/09/2024;50,96
09/09/2024;50,234
10/09/2024;50,658
11/09/2024;50,506
12/09/2024;50,47
13/09/2024;51,09
16/09/2024;51,414
17/09/2024;51,272
18/09/2024;51,53
19/09/2024;51,322
20/09/2024;52,11
23/09/2024;52,052
