DATE;Close
24/06/2020;35,8
25/06/2020;34,91
26/06/2020;34,94
29/06/2020;34,8
30/06/2020;34,83
01/07/2020;35,065
02/07/2020;35,33
03/07/2020;35,835
06/07/2020;35,59
07/07/2020;36,045
08/07/2020;35,98
09/07/2020;35,565
10/07/2020;35,42
13/07/2020;35,64
14/07/2020;36,115
15/07/2020;35,49
16/07/2020;36,1
17/07/2020;35,775
20/07/2020;35,95
21/07/2020;36,085
22/07/2020;36,335
23/07/2020;35,925
24/07/2020;36
27/07/2020;35,235
28/07/2020;34,975
29/07/2020;35,22
30/07/2020;35,12
31/07/2020;34,795
03/08/2020;34,605
04/08/2020;35,46
05/08/2020;35,355
06/08/2020;35,375
07/08/2020;35,405
10/08/2020;35,695
11/08/2020;35,915
12/08/2020;36,27
13/08/2020;36,39
14/08/2020;36,27
17/08/2020;36,165
18/08/2020;36,205
19/08/2020;36,025
20/08/2020;36,285
21/08/2020;36,155
24/08/2020;36,44
25/08/2020;36,815
26/08/2020;36,8
27/08/2020;37,07
28/08/2020;37,31
31/08/2020;37,045
01/09/2020;36,885
02/09/2020;36,94
03/09/2020;37,715
04/09/2020;37,045
07/09/2020;36,295
08/09/2020;36,755
09/09/2020;36,18
10/09/2020;36,61
11/09/2020;36,4
14/09/2020;36,2
15/09/2020;36,425
16/09/2020;36,815
17/09/2020;36,925
18/09/2020;36,52
21/09/2020;36,165
22/09/2020;35,38
23/09/2020;35,735
24/09/2020;36,22
25/09/2020;35,775
28/09/2020;35,97
29/09/2020;36,645
30/09/2020;36,375
01/10/2020;36,58
02/10/2020;36,655
05/10/2020;36,53
06/10/2020;36,69
07/10/2020;36,76
08/10/2020;36,815
09/10/2020;37,12
12/10/2020;37,335
13/10/2020;37,845
14/10/2020;37,97
15/10/2020;37,845
16/10/2020;37,425
19/10/2020;37,715
20/10/2020;37,385
21/10/2020;37,005
22/10/2020;36,88
23/10/2020;36,87
26/10/2020;36,985
27/10/2020;36,35
28/10/2020;36,36
29/10/2020;35,55
30/10/2020;35,835
02/11/2020;35,555
03/11/2020;36,125
04/11/2020;36,675
05/11/2020;37,59
06/11/2020;37,775
09/11/2020;37,56
10/11/2020;38,93
11/11/2020;38,43
12/11/2020;38,86
13/11/2020;38,495
16/11/2020;38,485
17/11/2020;39,035
18/11/2020;38,895
19/11/2020;39,035
20/11/2020;38,6
23/11/2020;38,77
24/11/2020;38,62
25/11/2020;39,11
26/11/2020;38,97
27/11/2020;38,995
30/11/2020;38,97
01/12/2020;38,6
02/12/2020;38,94
03/12/2020;38,735
04/12/2020;38,655
07/12/2020;38,835
08/12/2020;38,835
09/12/2020;39,055
10/12/2020;39,105
11/12/2020;38,79
14/12/2020;38,535
15/12/2020;38,715
16/12/2020;38,635
17/12/2020;38,865
18/12/2020;38,89
21/12/2020;38,77
22/12/2020;38,38
23/12/2020;38,735
28/12/2020;38,815
29/12/2020;39,145
30/12/2020;39,19
04/01/2021;39,165
05/01/2021;38,82
06/01/2021;38,885
07/01/2021;39,32
08/01/2021;39,555
11/01/2021;39,795
12/01/2021;39,99
13/01/2021;39,875
14/01/2021;39,925
15/01/2021;39,995
18/01/2021;39,745
19/01/2021;39,835
20/01/2021;39,76
21/01/2021;40,29
22/01/2021;40,285
25/01/2021;40,065
26/01/2021;40,025
27/01/2021;40,215
28/01/2021;39,71
29/01/2021;39,815
01/02/2021;38,845
02/02/2021;39,355
03/02/2021;40,18
04/02/2021;40,18
05/02/2021;40,525
08/02/2021;40,625
09/02/2021;40,665
10/02/2021;40,65
11/02/2021;40,465
12/02/2021;40,725
15/02/2021;40,85
